,file_name,annotation_file,image_path,annotation_path,annotation
0,ayana-1-img-1.jpg,ayana-1-img-1.txt,../../BristolGorillas2020/images/train/ayana/ayana-1-img-1.jpg,../../BristolGorillas2020/images/train/ayana/ayana-1-img-1.txt,1 0.557292 0.212500 0.026042 0.036111
1,ayana-1-img-2.jpg,ayana-1-img-2.txt,../../BristolGorillas2020/images/train/ayana/ayana-1-img-2.jpg,../../BristolGorillas2020/images/train/ayana/ayana-1-img-2.txt,1 0.914844 0.618981 0.167187 0.308333
2,ayana-1-img-3.jpg,ayana-1-img-3.txt,../../BristolGorillas2020/images/train/ayana/ayana-1-img-3.jpg,../../BristolGorillas2020/images/train/ayana/ayana-1-img-3.txt,1 0.657031 0.431481 0.030729 0.079630
3,ayana-1-img-4.jpg,ayana-1-img-4.txt,../../BristolGorillas2020/images/train/ayana/ayana-1-img-4.jpg,../../BristolGorillas2020/images/train/ayana/ayana-1-img-4.txt,1 0.473438 0.503241 0.023958 0.058333
4,ayana-1-img-5.jpg,ayana-1-img-5.txt,../../BristolGorillas2020/images/train/ayana/ayana-1-img-5.jpg,../../BristolGorillas2020/images/train/ayana/ayana-1-img-5.txt,1 0.575521 0.295370 0.044792 0.083333
5,ayana-1-img-6.jpg,ayana-1-img-6.txt,../../BristolGorillas2020/images/train/ayana/ayana-1-img-6.jpg,../../BristolGorillas2020/images/train/ayana/ayana-1-img-6.txt,1 0.675521 0.413426 0.035417 0.047222
6,ayana-1-img-7.jpg,ayana-1-img-7.txt,../../BristolGorillas2020/images/train/ayana/ayana-1-img-7.jpg,../../BristolGorillas2020/images/train/ayana/ayana-1-img-7.txt,1 0.472135 0.502315 0.027604 0.060185
7,ayana-1-img-9.jpg,ayana-1-img-9.txt,../../BristolGorillas2020/images/train/ayana/ayana-1-img-9.jpg,../../BristolGorillas2020/images/train/ayana/ayana-1-img-9.txt,1 0.922396 0.606019 0.155208 0.389815
8,ayana-1-img-10.jpg,ayana-1-img-10.txt,../../BristolGorillas2020/images/train/ayana/ayana-1-img-10.jpg,../../BristolGorillas2020/images/train/ayana/ayana-1-img-10.txt,1 0.893229 0.607407 0.136458 0.303704
9,ayana-1-img-11.jpg,ayana-1-img-11.txt,../../BristolGorillas2020/images/train/ayana/ayana-1-img-11.jpg,../../BristolGorillas2020/images/train/ayana/ayana-1-img-11.txt,1 0.585938 0.498148 0.046875 0.077778
10,ayana-1-img-12.jpg,ayana-1-img-12.txt,../../BristolGorillas2020/images/train/ayana/ayana-1-img-12.jpg,../../BristolGorillas2020/images/train/ayana/ayana-1-img-12.txt,1 0.584635 0.496296 0.051562 0.074074
11,ayana-1-img-13.jpg,ayana-1-img-13.txt,../../BristolGorillas2020/images/train/ayana/ayana-1-img-13.jpg,../../BristolGorillas2020/images/train/ayana/ayana-1-img-13.txt,1 0.642708 0.475000 0.145833 0.385185
12,ayana-1-img-16.jpg,ayana-1-img-16.txt,../../BristolGorillas2020/images/train/ayana/ayana-1-img-16.jpg,../../BristolGorillas2020/images/train/ayana/ayana-1-img-16.txt,1 0.642969 0.435648 0.132812 0.432407
13,ayana-1-img-18.jpg,ayana-1-img-18.txt,../../BristolGorillas2020/images/train/ayana/ayana-1-img-18.jpg,../../BristolGorillas2020/images/train/ayana/ayana-1-img-18.txt,1 0.630469 0.474537 0.030729 0.062037
